trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
47,0,47,0,97.34752740012482,,97.30696120020002,10,97.34752740012482,97.34752740012482,0.026989399921149015,99.90177869983017,[0.31333333333333335],[0.225],[1],[0],[0],[2.5680720997042954],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
48,0,48,0,99.92956010019407,,99.90444480022416,5,99.92956010019407,99.92956010019407,0.013393699657171965,102.2189086000435,[-0.205],[-0.25666666666666665],[1],[0],[0],[2.301269100047648],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
49,0,49,0,102.27904860023409,,102.22343440027907,10,102.27904860023409,102.27904860023409,0.029821999836713076,103.75162710016593,[-0.30666666666666664],[0.2866666666666667],[1],[0],[0],[1.4990276996977627],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
50,0,50,0,103.79487510025501,,103.75431070011109,5,103.79487510025501,103.79487510025501,0.017605299595743418,105.86525280028582,[-0.43666666666666665],[-0.15333333333333332],[1],[0],[0],[2.0936079998500645],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
51,0,51,0,105.89389960002154,,105.86793790012598,5,105.89389960002154,105.89389960002154,0.013307599816471338,107.51409649988636,[0.005],[0.32],[1],[0],[0],[1.633062900044024],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
52,0,52,0,107.5429572998546,,107.51678950013593,5,107.5429572998546,107.5429572998546,0.013174599967896938,109.21419040020555,[-0.23666666666666666],[0.11166666666666666],[1],[0],[0],[1.6844480000436306],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
53,0,53,0,109.24272970017046,,109.21696830028668,5,109.24272970017046,109.24272970017046,0.013540599960833788,111.12977360002697,[-0.36],[0.16166666666666665],[1],[0],[0],[1.8994958000257611],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
54,0,54,0,111.1899764998816,,111.13421460008249,10,111.1899764998816,111.1899764998816,0.03028560010716319,114.72663509985432,[0.06166666666666667],[-0.43166666666666664],[1],[0],[0],[3.5628514997661114],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
55,0,55,0,114.77311519999057,,114.72937089996412,10,114.77311519999057,114.77311519999057,0.026979099959135056,117.79126910027117,[-0.10666666666666667],[0.25],[1],[0],[0],[3.035149599891156],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
56,0,56,0,117.83828000025824,,117.793942600023,10,117.83828000025824,117.83828000025824,0.026499200146645308,119.7766352002509,[-0.08666666666666667],[-0.3566666666666667],[1],[0],[0],[1.9564567999914289],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
