study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,,,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,14,14,0,,,None,,,bottle,[0.06666666666666667],[-0.30666666666666664],[1],[0],[0],[5.494027300039306],['text_3'],,,,,0,14,14,19,126.5016992,,,,,,,,126.4757089,126.5016992,126.5016992,126.5016992,0.00266,131.9705821,bottle,[0.06666666666666667],[-0.30666666666666664],[1],[0],[0],[5.494027300039306],['text_3'],851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,15,15,0,,,p_st_r,,,pastry,[],[],[],[],[],[],[],,,,,0,15,15,9,131.9964867,,,,,,,,131.9743686,131.9964867,131.9964867,131.9964867,0.0035644,141.9756341,pastry,[],[],[],[],[],[],[],851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,16,16,0,,,ta_l_,,,table,[],[],[],[],[],[],[],,,,,0,16,16,15,142.0047404,,,,,,,,141.9787712,142.0047404,142.0047404,142.0047404,0.0079642,151.9838768,table,[],[],[],[],[],[],[],851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,17,17,0,,,_a_bl_,,,marble,[0.06666666666666667],[-0.30666666666666664],[1],[0],[0],[7.9543177001178265],['text_3'],,,,,0,17,17,11,152.0110519,,,,,,,,151.9887989,152.0110519,152.0110519,152.0110519,0.0180305,159.9441146,marble,[0.06666666666666667],[-0.30666666666666664],[1],[0],[0],[7.9543177001178265],['text_3'],851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,18,18,0,,,_oo_,,,book,[0.06666666666666667],[-0.30666666666666664],[1],[0],[0],[6.088408899959177],['text_3'],,,,,0,18,18,13,159.9704712,,,,,,,,159.9484073,159.9704712,159.9704712,159.9704712,0.0041061,166.037888,book,[0.06666666666666667],[-0.30666666666666664],[1],[0],[0],[6.088408899959177],['text_3'],851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,19,19,0,,,v_s_,,,vase,[0.06666666666666667],[-0.30666666666666664],[1],[0],[0],[8.81855500000529],['text_3'],,,,,0,19,19,17,166.0646432,,,,,,,,166.0455175,166.0646432,166.0646432,166.0646432,0.0074113,174.8652093,vase,[0.06666666666666667],[-0.30666666666666664],[1],[0],[0],[8.81855500000529],['text_3'],851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,prop hit from study list ,18,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,prop hit for non prime words,2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Priming score,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
