key_resp.corr,key_resp.rt,,,,,,
0,None,,seqRT,ranRT,,Mean of seqRT,Mean of ranRT
0,1.0984568,,,,,,
0,0.9995967,,,,,,
0,0.5375393,,,,,,
1,2.3955834,,,,,,
0,0.8954389,,,,,,
0,1.8025147,,,,,,
0,0.4657147,,,,,,
0,1.0571506,,,,,,
0,2.0417134,,,,,,
1,1.8947504,,,,,,
0,1.0046319,,,,,,
1,2.3684526,,,,,,
0,3.7725034,,,,,,
0,1.9054159,,,,,,
0,1.1397387,,,,,,
0,5.006519,,,,,,
0,1.698307,,,,,,
1,115.3534486,,,,,,
0,1.1556398,,,,,,
0,1.4952956,,,,,,
1,2.1287307,,,,,,
1,0.0324841,,,,,,
0,0.0236265,,,,,,
0,0.0835487,,,,,,
1,0.0390373,,,,,,
0,0.1949777,,,,,,
0,0.3573809,,,,,,
1,0.3404844,,,,,,
1,0.0841965,,,,,,
0,0.14291,,,,,,
0,0.0356245,,,,,,
1,0.0542312,,,,,,
0,0.0549562,,,,,,
0,0.0453824,,,,,,
0,None,,,,,,
0,0.0618871,,,,,,
0,0.0631322,,,,,,
0,0.2319622,,,,,,
0,0.378221,,,,,,
0,0.2185797,,,,,,
1,0.1272607,,,,,,
0,0.0705336,,,,,,
0,None,,,,,,
0,0.1352327,,,,,,
1,0.1999371,,,,,,
0,0.0337555,,,,,,
0,0.3223878,,,,,,
1,0.166211,,,,,,
0,0.2079783,,,,,,
0,0.1120724,,,,,,
0,0.143589,,,,,,
0,0.0363727,,,,,,
0,0.0357486,,,,,,
0,0.0283201,,,,,,
0,None,,,,,,
0,0.0639606,,,,,,
0,0.4496738,,,,,,
